Freq.	I(R1)
1.52405275379728e+008	(-1.00649182597888e+002dB,-9.19294600924973e+001°)
1.52756605823806e+008	(-1.00587887326088e+002dB,-9.19340192205862e+001°)
1.53108746168202e+008	(-1.00526585880548e+002dB,-9.19385898655807e+001°)
1.53461698279928e+008	(-1.00465278230909e+002dB,-9.19431720610778e+001°)
1.53815464030302e+008	(-1.00403964346652e+002dB,-9.19477658409017e+001°)
1.54170045294954e+008	(-1.00342644197102e+002dB,-9.19523712387385e+001°)
1.54525443953840e+008	(-1.00281317751420e+002dB,-9.19569882886903e+001°)
1.54881661891247e+008	(-1.00219984978609e+002dB,-9.19616170247156e+001°)
1.55238700995807e+008	(-1.00158645847509e+002dB,-9.19662574811250e+001°)
1.55596563160506e+008	(-1.00097300326797e+002dB,-9.19709096922145e+001°)
1.55955250282694e+008	(-1.00035948384986e+002dB,-9.19755736926541e+001°)
1.56314764264094e+008	(-9.99745899904258e+001dB,-9.19802495169833e+001°)
1.56675107010813e+008	(-9.99132251112991e+001dB,-9.19849371999947e+001°)
1.57036280433354e+008	(-9.98518537156223e+001dB,-9.19896367765998e+001°)
1.57398286446620e+008	(-9.97904757712443e+001dB,-9.19943482819699e+001°)
1.57761126969933e+008	(-9.97290912458459e+001dB,-9.19990717512210e+001°)
1.58124803927037e+008	(-9.96677001069376e+001dB,-9.20038072196878e+001°)
1.58489319246110e+008	(-9.96063023218597e+001dB,-9.20085547229197e+001°)
1.58854674859776e+008	(-9.95448978577809e+001dB,-9.20133142965874e+001°)
1.59220872705115e+008	(-9.94834866816979e+001dB,-9.20180859763483e+001°)
1.59587914723672e+008	(-9.94220687604328e+001dB,-9.20228697983624e+001°)
1.59955802861465e+008	(-9.93606440606344e+001dB,-9.20276657984571e+001°)
1.60324539069002e+008	(-9.92992125487753e+001dB,-9.20324740129838e+001°)
1.60694125301286e+008	(-9.92377741911514e+001dB,-9.20372944783271e+001°)
1.61064563517825e+008	(-9.91763289538808e+001dB,-9.20421272310618e+001°)
1.61435855682647e+008	(-9.91148768029048e+001dB,-9.20469723076443e+001°)
1.61808003764305e+008	(-9.90534177039819e+001dB,-9.20518297451460e+001°)
1.62181009735891e+008	(-9.89919516226925e+001dB,-9.20566995804385e+001°)
1.62554875575047e+008	(-9.89304785244343e+001dB,-9.20615818505493e+001°)
1.62929603263970e+008	(-9.88689983744211e+001dB,-9.20664765930023e+001°)
1.63305194789432e+008	(-9.88075111376847e+001dB,-9.20713838450166e+001°)
